Date,AAPL,MSFT,ASML.AS,^GSPC,EURUSD,^IRX,Portfolio_PnL,Loss
2016-06-08,-227.2912608777862,-287.98576799411467,-1331.8868626333551,660.8203943909447,-109.06341461943295,7.499996572732926,-1287.906915161011,1287.906915161011
2016-06-09,1787.6440543172748,-2025.9519687542017,-90.64331995181824,-343.8471195787615,865.0779849854835,-1.2499988079070976,191.02963221006962,-191.02963221006962
2016-06-10,-2065.7654033221397,-678.9961884891937,-4259.846256899436,-1843.5064820332236,-1620.0774028287567,-0.0,-10468.191733572748,10468.191733572748
2016-06-13,-3797.772889360736,-6593.508491969506,-2117.680338723658,-1629.6597579418956,-1330.74987287564,-1.250002533197403,-15470.621353404633,15470.621353404633
2016-06-14,308.01530256341954,-1550.4918858595272,-5070.147415391986,-360.10101439438074,905.7610189922866,-4.500001668930075,-5771.463995759117,5771.463995759117
2016-06-15,-822.2333252482539,-703.3565477107126,1339.2315196619536,-368.481812762039,-1386.2507483762793,2.0000040531158447,-1939.0909103822153,1939.0909103822153
2016-06-16,1052.9960148432851,3497.266577269069,832.4860604536278,625.6186222091144,883.2956049048192,2.49999761581423,6894.16287729573,-6894.16287729573
2016-06-17,-5755.1289821054625,-1293.289746492784,-2099.7820705650374,-652.6568289217844,-189.12809340809753,-0.7499977946281503,-9990.735719287793,9990.735719287793
2016-06-20,-603.9032248709088,-299.4172238969193,5931.81023059007,1158.2765556846202,1717.6609487295605,-0.0,7904.427286236423,-7904.427286236423
2016-06-21,2120.347046816424,5530.5554916684305,3142.0418936159663,541.6781208419405,-460.24232815089886,-4.249997437000275,10870.130227354863,-10870.130227354863
2016-06-22,-940.1229166756318,-978.704633977688,663.6427434345972,-330.58579931517,-1282.168874549337,-0.7500052452087541,-2868.6894863284383,2868.6894863284383
2016-06-23,1434.842165476285,4470.536240582003,2023.1141106586456,2655.1134143910213,1375.0471523118356,-1.7499998211860657,11956.903083598605,-11956.903083598605
2016-06-24,-7124.479419202585,-10223.590157441346,-6785.754873569985,-7316.158561116526,-74.74973214948514,9.250000119209297,-31515.482743360717,31515.482743360717
2016-06-27,-3666.9303458871586,-7124.410309258741,-4711.185066482176,-3652.449302340551,-5153.401434957953,0.7500015199184487,-24307.62645740666,24307.62645740666
2016-06-28,4174.99816217307,5160.074875248088,1812.3547928845296,3522.8243208175836,-379.29047093374476,-6.249997764825821,14284.711682424699,-14284.711682424699
2016-06-29,2154.4322340824065,5501.342904790765,4947.289312700687,3377.848594250783,1066.9017617481577,1.2499988079070907,17049.064806380706,-17049.064806380706
2016-06-30,3157.942106213912,3097.065472692512,4646.804683333433,2694.7726298932257,974.6594062835824,1.7499998211860794,14572.994298237852,-14572.994298237852
