Date,Loss,VaR_Normal,ES_Normal,VaR_t,ES_t,VaR_HS,ES_HS,VaR_EWMA,ES_EWMA,VaR_FHS,ES_FHS
2020-04-08,-19588.36563751081,30048.03207592954,30199.19132613423,38382.735354374156,47698.81680395808,38762.19711258615,43854.01496122957,101984.7952519384,102486.96756084786,107837.23666156463,106518.34778926281
2020-04-09,-4611.864486182952,30054.20527885444,30205.510834839457,38451.111254647854,47789.141476854726,38762.19711258615,43854.01496122957,99505.97223013901,99995.93883449066,99807.58656129359,97895.80636730342
2020-04-13,-4025.743891178048,30046.34809272624,30197.65367014052,38453.25086918192,47814.325949021186,38762.19711258615,43854.01496122957,96510.40684472834,96985.62330929331,84245.06218965763,87110.83432344039
2020-04-14,-39282.35009258327,30041.238913271092,30192.547059765435,38444.29215365094,47809.44616897839,38762.19711258615,43854.01496122957,93598.42744714375,94059.30534865166,72864.5010582704,77031.19374253452
2020-04-15,10625.917836681674,30017.138096546892,30168.670738377576,38518.34294458291,47953.10669425236,38762.19711258615,43834.99385416544,93467.065454248,93927.29653036284,80169.38113706792,83880.67156054487
2020-04-16,-10555.242921797812,30040.14843602213,30191.737140843976,38470.726130631025,47797.705271584746,38762.19711258615,43834.99385416544,90821.74985836136,91268.95542182699,72519.93482296227,76054.20691539641
2020-04-17,-7469.445009365286,30020.13442385634,30171.72183333944,38444.11199242907,47772.7400947354,38762.19711258615,43834.99385416544,88260.13939415432,88694.73160836373,65784.76424161688,69138.34473323957
2020-04-20,16659.876493445743,29961.59541606939,30113.02663151424,38293.23406935374,47557.955280263304,38762.19711258615,43834.99385416544,85677.17138209942,86099.04508265933,59559.4485961364,62653.60740765207
2020-04-21,32570.736019986143,29949.938382628403,30101.325507437876,38250.67365933419,47482.76414598096,38762.19711258615,43834.99385416544,83607.82137074893,84019.50560855045,56448.508181112484,59464.21494131279
2020-04-22,-27473.848258083588,30075.66551941243,30227.527363449393,38564.87048173001,47998.14352090676,38762.19711258615,43940.42008101442,83158.43398540468,83567.90544334686,63367.39220799257,66424.78942583795
2020-04-23,2104.9977871849687,30114.34747862405,30266.50154143027,38781.312241188556,48337.81739212705,38762.19711258615,43940.42008101442,82131.01433488172,82535.42678675494,64960.607258775264,68040.34056542427
2020-04-24,-15253.968135672145,30112.10673884932,30264.256546899076,38798.97045916447,48381.15646268631,38762.19711258615,43940.42008101442,79638.00673097123,80030.14363351876,58321.825166661976,61166.1719267129
2020-04-27,-1481.3042054610885,30111.676131256972,30263.911369489033,38782.59991465973,48314.402610296456,38762.19711258615,43940.42008101442,77699.64553096719,78082.23795860645,55199.965629239116,57922.87441901246
2020-04-28,17415.563815564212,30110.431896912225,30262.6671870336,38783.929278216696,48320.94517493896,38762.19711258615,43940.42008101442,75337.33023943692,75708.2906456421,49564.14148664955,52098.52247204185
2020-04-29,-41334.920613749215,30160.148238572914,30312.520972387178,38859.38085960488,48380.85407930841,38762.19711258615,43940.42008101442,73713.3419928309,74076.3058940137,48862.82262024235,51356.25917550335
2020-04-30,-6536.056361203117,30262.006327442432,30415.084992909975,39207.427936267246,48945.71331551622,38762.19711258615,43940.42008101442,75249.15446134102,75619.68069072635,64991.56893752316,67614.58752432317
2020-05-01,20720.10654712275,30259.74688044433,30412.78921996554,39226.43026595595,49010.54293372721,38762.19711258615,43940.42008101442,73051.76870384604,73411.47502349208,58997.2310893618,61423.779900644724
2020-05-04,-11248.07464567294,30309.40935054278,30462.626828310065,39389.91285614994,49278.225053368464,38762.19711258615,43940.42008101442,71803.72024705431,72157.28118616957,58153.59062437361,60544.17988355442
2020-05-05,-12099.53967491262,30300.85303162472,30454.10546884732,39357.412900001305,49211.07927248966,38762.19711258615,43940.42008101442,69910.73089754065,70254.97077237334,53949.72072108271,56221.55668207431
2020-05-06,-3082.693027784924,30293.413880517714,30446.709911445738,39327.25336759343,49142.991126380184,38762.19711258615,43940.42008101442,68130.73746534235,68466.21266687759,50521.40499660641,52715.22915742167
2020-05-07,-9825.817940455265,30286.403032509388,30439.59990775433,39352.33786175859,49252.58979543642,38762.19711258615,43940.42008101442,66078.55398753464,66403.92425418414,45776.91219853788,47811.18500302772
2020-05-08,-12880.762895930951,30262.134539823695,30415.31165371059,39315.62685684134,49218.869579570026,38762.19711258615,43940.42008101442,64309.741187145984,64626.401833838856,42841.49210856539,44801.69529664473
2020-05-11,-9462.501990215724,30265.297800201428,30418.53024477843,39277.004322829285,49101.58830604911,38762.19711258615,43940.42008101442,62781.15006242757,63090.28393875647,41460.174221012676,43379.874880826705
2020-05-12,16838.51862698708,30252.339934614767,30405.584341076315,39253.81194507826,49072.98038774827,38762.19711258615,43940.42008101442,61106.9468529356,61407.836966170034,39044.140030777045,40901.0248795247
2020-05-13,14311.424658433296,30300.127519928057,30453.489072772194,39359.56138262778,49204.059459692966,38762.19711258615,43940.42008101442,60017.35862330014,60312.88361288369,40342.965944854244,42224.77248441982
2020-05-14,-6169.265035760534,30332.510295050946,30485.96789810472,39370.526591885064,49157.819341319155,38762.19711258615,43940.42008101442,58757.68183401636,59047.00418525376,40005.44131862573,41904.682602747795
2020-05-15,-5291.258457181318,30320.120869916573,30473.45664639389,39315.13913439965,49109.495991616626,38762.19711258615,43940.42008101442,57076.05287079375,57357.094894585236,37069.212420678276,38823.75419424619
2020-05-18,-16159.480701030736,30319.416097817324,30472.726769658977,39358.930957627024,49217.82119721505,38762.19711258615,43940.42008101442,55419.36851169301,55692.253035067995,34227.41697885889,35893.72156065505
2020-05-19,6859.126358554555,30324.22140375062,30477.63274699968,39320.89701244837,49087.85835330681,38762.19711258615,43940.42008101442,54514.40284124694,54782.83132096279,36305.29413911122,38032.75580502656
2020-05-20,-16557.31002381889,30339.838807528027,30493.265512332597,39302.07495947659,49009.16854532767,38762.19711258615,43940.42008101442,52997.999145744005,53258.96086589899,33974.888905788175,35622.40779199403
2020-05-21,6792.855721290779,30346.777120219398,30500.308973375613,39271.39591221211,48889.28367178741,38762.19711258615,43940.42008101442,52242.50289907744,52499.7445618099,36335.13205922752,38044.21989149092
2020-05-22,-3104.2387261745534,30352.37291826502,30505.91915678631,39254.28817293741,48839.65742220439,38762.19711258615,43940.42008101442,50798.67704185416,51048.80931771582,34035.965426995775,35643.67096363016
2020-05-26,768.0403758213779,30343.324197834696,30496.861820832797,39294.89419788802,48950.11197803684,38762.19711258615,43940.42008101442,49282.900599719236,49525.569204610576,31354.385105104717,32844.95842463096
